iter	Passed	Remaining
198	370	1493
199	372	1488
200	373	1484
201	374	1478
202	375	1473
203	376	1468
204	377	1464
205	378	1459
206	380	1455
207	381	1451
208	382	1447
209	387	1458
210	389	1456
211	391	1453
212	392	1449
213	393	1444
214	394	1440
215	395	1435
216	396	1431
217	397	1427
218	400	1428
219	401	1423
220	402	1419
221	403	1414
222	404	1410
223	406	1406
224	407	1402
225	408	1398
226	409	1393
227	410	1388
228	410	1383
229	412	1379
230	413	1375
231	414	1372
232	416	1371
233	418	1369
234	419	1365
235	420	1360
236	421	1355
237	422	1351
238	423	1346
239	423	1342
240	424	1337
241	425	1333
242	426	1329
243	427	1325
244	428	1321
245	430	1319
246	432	1317
247	433	1314
248	434	1309
249	435	1305
250	435	1301
251	436	1296
252	437	1293
253	438	1288
254	440	1285
255	441	1282
256	442	1278
257	443	1274
258	446	1276
259	448	1275
260	449	1271
261	450	1268
262	451	1264
263	452	1260
264	452	1256
265	453	1252
266	454	1248
267	455	1244
268	456	1240
269	457	1236
270	458	1232
271	459	1229
272	461	1228
273	463	1227
274	464	1225
275	465	1221
276	466	1218
277	467	1214
278	468	1211
279	469	1207
280	470	1203
281	471	1200
282	472	1196
283	473	1194
284	480	1205
285	482	1204
286	483	1202
287	485	1200
288	487	1199
289	489	1198
290	490	1195
291	492	1194
292	494	1192
293	495	1189
294	496	1185
295	497	1182
296	498	1179
297	499	1175
298	500	1172
299	501	1169
300	502	1165
301	503	1162
302	504	1159
303	505	1156
304	509	1161
305	511	1160
306	513	1158
307	514	1156
308	515	1152
309	516	1149
310	517	1146
311	518	1142
312	519	1139
313	520	1136
314	521	1133
315	525	1138
316	527	1135
317	528	1132
318	529	1129
319	530	1126
320	531	1123
321	532	1120
322	533	1117
323	534	1114
324	535	1111
325	536	1108
326	537	1105
327	538	1102
328	541	1105
329	543	1102
330	544	1100
331	545	1097
332	546	1094
333	547	1092
334	548	1089
335	549	1086
336	551	1084
337	552	1081
338	553	1078
339	555	1078
340	557	1077
341	558	1075
342	559	1072
343	560	1069
344	561	1066
345	562	1064
346	563	1061
347	565	1058
348	566	1055
349	567	1053
350	568	1050
351	569	1047
352	574	1053
353	576	1051
354	577	1048
355	578	1046
356	579	1043
357	580	1041
358	581	1038
359	582	1035
360	583	1032
361	584	1030
362	585	1027
363	587	1026
364	589	1024
365	590	1022
366	591	1019
367	591	1016
368	592	1013
369	593	1011
370	594	1008
371	595	1005
372	596	1002
373	597	1000
374	597	996
375	598	994
376	599	991
377	600	988
378	606	993
379	607	991
380	608	988
381	609	986
382	610	983
383	611	980
384	612	978
385	613	975
386	614	973
387	615	970
388	616	967
389	618	967
390	620	965
391	622	965
392	623	963
393	624	960
394	625	958
395	626	955
396	628	954
397	629	952
398	630	949
399	631	946
400	632	944
401	634	943
402	638	945
403	639	943
404	640	941
405	641	938
406	642	936
407	643	934
408	644	931
409	645	929
410	646	926
411	647	924
412	652	927
413	654	926
414	655	924
415	657	922
416	658	920
417	659	917
418	660	915
419	661	913
420	662	910
421	668	916
422	671	916
423	673	915
424	675	914
425	676	911
426	678	909
427	679	907
428	684	910
429	686	909
430	687	908
431	689	906
432	690	904
433	692	902
434	693	900
435	698	903
436	699	901
437	700	898
438	701	896
439	702	894
440	703	891
441	704	889
442	705	887
443	706	885
444	708	883
445	709	881
446	710	879
447	713	878
448	715	878
449	716	876
450	717	873
451	718	871
452	719	869
453	721	867
454	722	864
455	722	862
456	723	860
457	725	858
458	728	858
459	730	857
460	731	855
461	732	853
462	733	850
463	734	848
464	735	846
465	736	844
466	737	841
467	738	839
468	739	837
